"latitude","longitude","name"
"8.183775","126.354379","Bislig City Airport (BPH), Bislig, Philippines"
"8.036462","126.413597","Lingig, Philippines"
"8.367261","126.33475","Hinatuan, Philippines"
"8.372186","126.335007","Hinatuan, Philippines"
"8.366762","126.334803","Hinatuan, Philippines"
"8.368185","126.337249","Hinatuan, Philippines"
"7.63291","126.536683","Baganga, Philippines"
"8.228021","124.245242","Iligan City, Philippines"
"8.454236","124.631898","Cagayan de Oro, Philippines"
"6.841203","129.060242","Mindanao, Philippines"
"12.077238","120.188469","Coron, Philippines"
"14.672115","121.071702","Batasang Pambansa, Quezon City, NCR, Philippines"
"11.05242","124.3918","Palompon, Philippines"
"12.957491","123.022106","Army Gym, Fort Bonifacio, Taguig, NCR"
"11.035248","125.724502","Guiuan, Philippines"
"11.25","125","Tacloban City, Philippines"
"11.366667","124.483333","Leyte, Philippines"
"11.241962","125.044107","BJMP Regional Office 8, Tacloban City 6500, Philippines"
"11.25138","125.004716","E.V.R.M.C., Senator Enage Street, Tacloban City, Philippines"
"11.241197","125.000088","Divine Word Hospital, M.H. Del Pilar street, Tacloban City, Philippines"
"11.25","125","Tacloban City, Philippines"
"11.46101","123.153099","Estancia, Philippines"
"11.739026","120.009619","Culion, Palawan"
"11.835278","119.993333","Culion, Philippines"
"10.940356","125.826904","Sulangan, giuian, Philippines"
"11.599155","121.695334","Manigin Island, Batbatan Island, Culasi, Antique"
"11.470365","121.915875","Batbatan Island, minigin island, Culasi, Antique, Philippines"
"11.200168","123.339573","Baliguian Island, Concepcion, Philippines"
"11.199334","123.341223","Baliguian island, Philippines"
"11.845398","121.371672","Caluya, Philippines"
"11.913936","121.389525","Caluya, Philippines"
"11.434314","123.187414","Bayas Island, Binuluangan Island, Gigante Islands, Sicogon Island, Estancia, Carles, Iloilo"
"11.433641","120.822607","Quinilibuan islands, Agutaya, Palawan"
"11.412637","122.020094","Malalison Island, Culasi, Philippines"
"10.730108","125.729768","Homonhon Island, Guiuan, Philippines"
"10.742446","125.722295","Homonhon Island, Guiuan, Philippines"
"11.007991","124.605248","Ormoc City, Philippines"
"11.30145","124.588997","Managasnas, Capoocan, Philippines"
"11.315551","124.547607","Julita, Philippines"
"11.352194","124.546286","Potot, Leute"
"11.352194","124.546286","Potot, Leute"
"11.284528","124.564139","Limon, Leyte"
"11.323583","124.562793","Guinadiongan, Cabolan, Leyte"
"11.158384","125.006995","Palo, Philippines"
"11.139465","125.301595","Lawaan, Lawa-an, Easter Samar, Philippines"
"11.139447","125.300772","Lawaan, Easter Samar, Philippines"
"11.701375","122.371679","Kalibo, Aklan, Philippines"
"11.266667","122.533333","Tapaz, Philippines"
"11.11113","125.216103","Marabut, Philippines"
"11.255703","123.015114","Sara, Iloilo, Philippines"
"11.931193","121.420917","Caluya Island, Caluya, Philippines"
"11.269539","123.092603","San Dionisio, Iloilo, Philippines"
"11.46101","123.153099","Estancia, Philippines"
"11.197092","123.125156","Brgy Baladian, Concepcion, Iloilo, Philippines"
"11.172053","123.020216","Ajuy, Iloilo"
"11.566195","123.136602","Carles, Iloilo"
"11.572249","122.761694","Roxas City, Capiz"
"11.488823","122.697836","Sigma, Roxas City, Capiz"
"10.953715","123.307921","Cadiz City, Philippines"
"11.493423","122.604049","Sapian, Sapi-an, Philippines"
"11.60893","122.237897","Panay, Philippines"
"11.406519","122.679031","Dao, Philippines"
"11.43327","122.597702","Mambusao, Philippines"
"11.365993","122.745849","Capiz, Philippines"
"11.473683","123.222777","Calagnaan Island, Carles"
"11.463534","123.152584","Estancia, Philippines"
"11.32132","122.669999","Cuartero, Philippines"
"11.420432","122.858346","Pontevedra, Philippines"
"11.281161","125.06848","Basey, Samar, Philippines"
"10.995523","125.636886","Manicani Island, Guiuan, Philippines"
"10.939556","125.825981","Sulangan, Eastern Samar, Philippines"
"10.98818","125.795228","Ngolos, Eastern Samar, Philippines"
"10.959971","125.832671","Calicoan Island, Guiuan, Philippines"
"10.83223","124.995102","MacArthur, Philippines"
"10.970954","124.962513","Julita, Philippines"
"10.901836","124.995636","Mayorga, Philippines"
"11.061111","124.903056","Dagami, Philippines"
"11.188","124.782","Jaro, Philippines"
"11.175574","124.554639","Kananga, Philippines"
"11.164796","124.558759","Kananga, Philippines"
"11.998331","120.206665","Coron, Philippines"
"11.223132","122.054127","Barbaza, Panay, Philippines"
"10.840278","123.499167","Escalante City, Philippines"
"10.628738","122.938132","Tangub, Bacolod City, Philippines"
"11.415556","122.067778","Culasi, Philippines"
"11.149369","125.673277","Samar Island, Philippines"
"11.547222","122.5375","Batan, Philippines"
"11.519654","122.267428","Madalag, Philippines"
"11.438931","122.320479","Libacao, Philippines"
"11.4","122.5","Jamindan, Philippines"
"10.836906","123.499167","Escalante City, Philippines"
"11.201829","123.821589","Hilantagaan Island, Santa Fe, Philippines"
"11.201829","123.821589","Hilantagaan Island, Santa Fe, Philippines"
"11.030804","125.724846","Guiuan, Philippines"
"11.973598","121.916409","Boracay Island, Malay, Philippines"
"11.042419","125.712698","Guiuan, Philippines"
"11.60049","125.441884","Hernani, Philippines"
"11.256603","124.990242","Tacloban City, Philippines"
"10.957148","125.831727","Calicoan Island, Guiuan, Philippines"
"11.117704","125.692503","Salcedo, Mercedes, Eastern Samar, Philippines"
